GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
osrm-route-planner,com.myapp.utils,App,7,0,0,0,3,0,2,0,2,0
osrm-route-planner,com.myapp.utils,HistoryManager,24,83,1,3,8,23,2,8,1,7
osrm-route-planner,com.myapp.utils,HistoryManager.new TypeToken() {...},0,6,0,0,0,1,0,1,0,1
osrm-route-planner,com.myapp.utils,RouteExporter,3,202,0,6,1,42,1,5,1,2
osrm-route-planner,com.myapp.model,Point,0,52,0,2,0,11,0,7,0,6
osrm-route-planner,com.myapp.model,TransportMode,0,21,0,0,0,4,0,1,0,1
osrm-route-planner,com.myapp.model,POI,0,21,0,0,0,8,0,4,0,4
osrm-route-planner,com.myapp.model,Route,0,39,0,0,0,14,0,7,0,7
osrm-route-planner,com.myapp.model,ElevationProfile,0,95,0,6,0,27,0,10,0,7
osrm-route-planner,com.myapp.model,HistoryEntry,9,57,0,0,3,14,3,4,3,4
osrm-route-planner,com.myapp.ui,MapViewer,2917,0,124,0,594,0,124,0,62,0
osrm-route-planner,com.myapp.service,Service,131,1055,37,76,39,213,37,40,0,12
osrm-route-planner,com.myapp.api,OSRMClient,88,77,9,1,25,20,8,3,1,3
osrm-route-planner,com.myapp.api,NominatimClient,0,43,0,0,0,16,0,3,0,3
osrm-route-planner,com.myapp.api,OverpassClient,27,12,0,0,9,5,1,2,1,2
osrm-route-planner,com.myapp.api,ElevationClient,28,12,0,0,10,5,1,2,1,2
